id_municipio,municipio_nome,id_pj,pj_nome
3507704,Braúna,3537305,Penápolis
3507753,Brejo Alegre,3506508,Birigui
3507803,Brodowski,3507803,Brodowski
3507902,Brotas,3507902,Brotas
3508009,Buri,3508009,Buri
3508108,Buritama,3508108,Buritama
3508207,Buritizal,3520103,Igarapava
3508306,Cabrália Paulista,3514502,Duartina
3508405,Cabreúva,3508405,Cabreúva
3508504,Caçapava,3508504,Caçapava
3508603,Cachoeira Paulista,3508603,Cachoeira Paulista
3508702,Caconde,3508702,Caconde
3508801,Cafelândia,3508801,Cafelândia
3508900,Caiabu,3542404,Regente Feijó
3509007,Caieiras,3509007,Caieiras
3509106,Caiuá,3541307,Presidente Epitácio
3509205,Cajamar,3509205,Cajamar
3509254,Cajati,3524600,Jacupiranga
3509304,Cajobi,3533908,Olímpia
3509403,Cajuru,3509403,Cajuru
3509452,Campina do Monte Alegre,3502200,Angatuba
3509502,Campinas,3509502,Campinas
3509601,Campo Limpo Paulista,3509601,Campo Limpo Paulista
3509700,Campos do Jordão,3509700,Campos do Jordão
3509809,Campos Novos Paulista,3535309,Palmital
3509908,Cananéia,3509908,Cananéia
3509957,Canas,3527207,Lorena
3510005,Cândido Mota,3510005,Cândido Mota
3510104,Cândido Rodrigues,3553708,Taquaritinga
3510153,Canitar,3557204,Chavantes
3510203,Capão Bonito,3510203,Capão Bonito
3510302,Capela do Alto,3554003,Tatuí
3510401,Capivari,3510401,Capivari
3510500,Caraguatatuba,3510500,Caraguatatuba
3510609,Carapicuíba,3510609,Carapicuíba
3510708,Cardoso,3510708,Cardoso
3510807,Casa Branca,3510807,Casa Branca
3510906,Cássia dos Coqueiros,3509403,Cajuru
3511003,Castilho,3502101,Andradina
3511102,Catanduva,3511102,Catanduva
3511201,Catiguá,3552601,Tabapuã
3511300,Cedral,3549805,São José do Rio Preto
3511409,Cerqueira César,3511409,Cerqueira César
3511508,Cerquilho,3511508,Cerquilho
3511607,Cesário Lange,3511607,Cesário Lange
3511706,Charqueada,3538709,Piracicaba
3557204,Chavantes,3557204,Chavantes
3511904,Clementina,3506508,Birigui
3512001,Colina,3512001,Colina
3512100,Colômbia,3505500,Barretos
3512209,Conchal,3512209,Conchal
3512308,Conchas,3512308,Conchas
3512407,Cordeirópolis,3512407,Cordeirópolis
3512506,Coroados,3506508,Birigui
3512605,Coronel Macedo,3553807,Taquarituba
3512704,Corumbataí,3543907,Rio Claro
3512803,Cosmópolis,3512803,Cosmópolis
3512902,Cosmorama,3553401,Tanabi
3513009,Cotia,3513009,Cotia
3513108,Cravinhos,3513108,Cravinhos
3513207,Cristais Paulista,3516200,Franca
3513306,Cruzália,3528809,Maracaí
3513405,Cruzeiro,3513405,Cruzeiro
3513504,Cubatão,3513504,Cubatão
3513603,Cunha,3513603,Cunha
3513702,Descalvado,3513702,Descalvado
3513801,Diadema,3513801,Diadema
3513850,Dirce Reis,3524808,Jales
3513900,Divinolândia,3550803,São Sebastião da Grama
3514007,Dobrada,3529302,Matão
3514106,Dois Córregos,3514106,Dois Córregos
3514205,Dolcinópolis,3515202,Estrela d'Oeste
3514304,Dourado,3542909,Ribeirão Bonito
3514403,Dracena,3514403,Dracena
3514502,Duartina,3514502,Duartina
3514601,Dumont,3551702,Sertãozinho
3514700,Echaporã,3504008,Assis
3514809,Eldorado,3514809,Eldorado
3514908,Elias Fausto,3531803,Monte Mor
3514924,Elisiário,3511102,Catanduva
3514957,Embaúba,3533908,Olímpia
3515004,Embu das Artes,3515004,Embu das Artes
3515103,Embu-Guaçu,3515103,Embu-Guaçu
3515129,Emilianópolis,3541208,Presidente Bernardes
3515152,Engenheiro Coelho,3503802,Artur Nogueira
3515186,Espírito Santo do Pinhal,3515186,Espírito Santo do Pinhal
3515194,Espírito Santo do Turvo,3546405,Santa Cruz do Rio Pardo
3557303,Estiva Gerbi,3530706,Mogi Guaçu
3515301,Estrela do Norte,3539202,Pirapozinho
3515202,Estrela d'Oeste,3515202,Estrela d'Oeste
3515350,Euclides da Cunha Paulista,3554300,Teodoro Sampaio
3515400,Fartura,3515400,Fartura
3515608,Fernando Prestes,3553708,Taquaritinga
3515509,Fernandópolis,3515509,Fernandópolis
3515657,Fernão,3516606,Gália
3515707,Ferraz de Vasconcelos,3515707,Ferraz de Vasconcelos
3515806,Flora Rica,3534906,Pacaembu
3515905,Floreal,3532603,Nhandeara
3516002,Flórida Paulista,3516002,Flórida Paulista
3516101,Florínia,3504008,Assis
3516200,Franca,3516200,Franca
3516309,Francisco Morato,3516309,Francisco Morato
3516408,Franco da Rocha,3516408,Franco da Rocha
3516507,Gabriel Monteiro,3506409,Bilac
3516606,Gália,3516606,Gália
3516705,Garça,3516705,Garça
3516804,Gastão Vidigal,3532603,Nhandeara
3516853,Gavião Peixoto,3503208,Araraquara
3516903,General Salgado,3516903,General Salgado
3517000,Getulina,3517000,Getulina
3517109,Glicério,3537305,Penápolis
3517208,Guaiçara,3527108,Lins
3517307,Guaimbê,3517000,Getulina
3517406,Guaíra,3517406,Guaíra
3517505,Guapiaçu,3549805,São José do Rio Preto
3517604,Guapiara,3510203,Capão Bonito
3517703,Guará,3517703,Guará
3517802,Guaraçaí,3530102,Mirandópolis
3517901,Guaraci,3533908,Olímpia
3518008,Guarani d'Oeste,3534757,Ouroeste
3518107,Guarantã,3508801,Cafelândia
3518206,Guararapes,3518206,Guararapes
3518305,Guararema,3518305,Guararema
3518404,Guaratinguetá,3518404,Guaratinguetá
3518503,Guareí,3540507,Porangaba
3518602,Guariba,3518602,Guariba
3518701,Guarujá,3518701,Guarujá
3518800,Guarulhos,3518800,Guarulhos
3518859,Guatapará,3543402,Ribeirão Preto
3518909,Guzolândia,3504206,Auriflama
3519006,Herculândia,3555000,Tupã
3519055,Holambra,3503802,Artur Nogueira
3519071,Hortolândia,3519071,Hortolândia
3519105,Iacanga,3519105,Iacanga
3519204,Iacri,3505807,Bastos
3519253,Iaras,3511409,Cerqueira César
3519303,Ibaté,3519303,Ibaté
3519402,Ibirá,3511102,Catanduva
3519501,Ibirarema,3535309,Palmital
3519600,Ibitinga,3519600,Ibitinga
3519709,Ibiúna,3519709,Ibiúna
3519808,Icém,3533007,Nova Granada
3519907,Iepê,3519907,Iepê
3520004,Igaraçu do Tietê,3505302,Barra Bonita
3520103,Igarapava,3520103,Igarapava
3520202,Igaratá,3546801,Santa Isabel
3520301,Iguape,3520301,Iguape
3520426,Ilha Comprida,3520301,Iguape
3520442,Ilha Solteira,3520442,Ilha Solteira
3520400,Ilhabela,3520400,Ilhabela
3520509,Indaiatuba,3520509,Indaiatuba
3520608,Indiana,3529203,Martinópolis
3520707,Indiaporã,3534757,Ouroeste
3520806,Inúbia Paulista,3527405,Lucélia
3520905,Ipaussu,3520905,Ipaussu
3521002,Iperó,3507001,Boituva
3521101,Ipeúna,3543907,Rio Claro
3521150,Ipiguá,3549805,São José do Rio Preto
3521200,Iporanga,3514809,Eldorado
3521309,Ipuã,3521309,Ipuã
3521408,Iracemápolis,3526902,Limeira
3521507,Irapuã,3556008,Urupês
3521606,Irapuru,3534906,Pacaembu
3521705,Itaberá,3521705,Itaberá
3521804,Itaí,3521804,Itaí
3521903,Itajobi,3521903,Itajobi
3522000,Itaju,3505203,Bariri
3522109,Itanhaém,3522109,Itanhaém
3522158,Itaóca,3502705,Apiaí
3522208,Itapecerica da Serra,3522208,Itapecerica da Serra
3522307,Itapetininga,3522307,Itapetininga
3522406,Itapeva,3522406,Itapeva
3522505,Itapevi,3522505,Itapevi
3522604,Itapira,3522604,Itapira
3522653,Itapirapuã Paulista,3502705,Apiaí
3522703,Itápolis,3522703,Itápolis
3522802,Itaporanga,3522802,Itaporanga
3522901,Itapuí,3525300,Jaú
3523008,Itapura,3520442,Ilha Solteira
3523107,Itaquaquecetuba,3523107,Itaquaquecetuba
3523206,Itararé,3523206,Itararé
3523305,Itariri,3523305,Itariri
3523404,Itatiba,3523404,Itatiba
3523503,Itatinga,3523503,Itatinga
3523602,Itirapina,3523602,Itirapina
3523701,Itirapuã,3536307,Patrocínio Paulista
3523800,Itobi,3510807,Casa Branca
3523909,Itu,3523909,Itu
3524006,Itupeva,3525904,Jundiaí
3524105,Ituverava,3524105,Ituverava
3524204,Jaborandi,3512001,Colina
3524303,Jaboticabal,3524303,Jaboticabal
3524402,Jacareí,3524402,Jacareí
3524501,Jaci,3530300,Mirassol
3524600,Jacupiranga,3524600,Jacupiranga
3524709,Jaguariúna,3524709,Jaguariúna
3524808,Jales,3524808,Jales
3524907,Jambeiro,3508504,Caçapava
3525003,Jandira,3525003,Jandira
3525102,Jardinópolis,3525102,Jardinópolis
3525201,Jarinu,3525201,Jarinu
3525300,Jaú,3525300,Jaú
3525409,Jeriquara,3537008,Pedregulho
3525508,Joanópolis,3538600,Piracaia
3525607,João Ramalho,3541703,Quatá
3525706,José Bonifácio,3525706,José Bonifácio
3525805,Júlio Mesquita,3508801,Cafelândia
3525854,Jumirim,3554508,Tietê
3525904,Jundiaí,3525904,Jundiaí
3526001,Junqueirópolis,3526001,Junqueirópolis
3526100,Juquiá,3526100,Juquiá
3526209,Juquitiba,3522208,Itapecerica da Serra
3526308,Lagoinha,3550001,São Luís do Paraitinga
3526407,Laranjal Paulista,3526407,Laranjal Paulista
3526506,Lavínia,3530102,Mirandópolis
3526605,Lavrinhas,3513405,Cruzeiro
3526704,Leme,3526704,Leme
3526803,Lençóis Paulista,3526803,Lençóis Paulista
3526902,Limeira,3526902,Limeira
3527009,Lindóia,3500501,Águas de Lindóia
3527108,Lins,3527108,Lins
3527207,Lorena,3527207,Lorena
3527256,Lourdes,3508108,Buritama
3527306,Louveira,3527306,Louveira
3527405,Lucélia,3527405,Lucélia
3527504,Lucianópolis,3514502,Duartina
3527603,Luís Antônio,3550902,São Simão
3527702,Luiziânia,3537305,Penápolis
3527801,Lupércio,3516705,Garça
3527900,Lutécia,3535507,Paraguaçu Paulista
3528007,Macatuba,3528007,Macatuba
3528106,Macaubal,3528106,Macaubal
3528205,Macedônia,3515509,Fernandópolis
3528304,Magda,3532603,Nhandeara
3528403,Mairinque,3528403,Mairinque
3528502,Mairiporã,3528502,Mairiporã
3528601,Manduri,3538808,Piraju
3528700,Marabá Paulista,3541505,Presidente Venceslau
3528809,Maracaí,3528809,Maracaí
3528858,Marapoama,3521903,Itajobi
3528908,Mariápolis,3500105,Adamantina
3529005,Marília,3529005,Marília
3529104,Marinópolis,3535200,Palmeira d'Oeste
3529203,Martinópolis,3529203,Martinópolis
3529302,Matão,3529302,Matão
3529401,Mauá,3529401,Mauá
3529500,Mendonça,3525706,José Bonifácio
3529609,Meridiano,3515509,Fernandópolis
3529658,Mesópolis,3524808,Jales
3529708,Miguelópolis,3529708,Miguelópolis
3529807,Mineiros do Tietê,3525300,Jaú
3530003,Mira Estrela,3510708,Cardoso
3529906,Miracatu,3529906,Miracatu
3530102,Mirandópolis,3530102,Mirandópolis
3530201,Mirante do Paranapanema,3530201,Mirante do Paranapanema
3530300,Mirassol,3530300,Mirassol
3530409,Mirassolândia,3530300,Mirassol
3530508,Mococa,3530508,Mococa
3530706,Mogi Guaçu,3530706,Mogi Guaçu
3530607,Mogi das Cruzes,3530607,Mogi das Cruzes
3530805,Mogi Mirim,3530805,Mogi Mirim
3530904,Mombuca,3510401,Capivari
3531001,Monções,3532603,Nhandeara
3531100,Mongaguá,3531100,Mongaguá
3531209,Monte Alegre do Sul,3501905,Amparo
3531308,Monte Alto,3531308,Monte Alto
3531407,Monte Aprazível,3531407,Monte Aprazível
3531506,Monte Azul Paulista,3531506,Monte Azul Paulista
3531605,Monte Castelo,3555109,Tupi Paulista
3531803,Monte Mor,3531803,Monte Mor
3531704,Monteiro Lobato,3549904,São José dos Campos
3531902,Morro Agudo,3531902,Morro Agudo
3532009,Morungaba,3523404,Itatiba
3532058,Motuca,3501707,Américo Brasiliense
3532108,Murutinga do Sul,3502101,Andradina
3532157,Nantes,3519907,Iepê
3532207,Narandiba,3539202,Pirapozinho
3532306,Natividade da Serra,3535606,Paraibuna
3532405,Nazaré Paulista,3532405,Nazaré Paulista
3532504,Neves Paulista,3532504,Neves Paulista
3532603,Nhandeara,3532603,Nhandeara
3532702,Nipoã,3531407,Monte Aprazível
3532801,Nova Aliança,3540804,Potirendaba
3532827,Nova Campina,3522406,Itapeva
3532843,Nova Canaã Paulista,3546603,Santa Fé do Sul
3532868,Nova Castilho,3516903,General Salgado
3532900,Nova Europa,3503208,Araraquara
3533007,Nova Granada,3533007,Nova Granada
3533106,Nova Guataporanga,3555109,Tupi Paulista
3533205,Nova Independência,3502101,Andradina
3533304,Nova Luzitânia,3532603,Nhandeara
3533403,Nova Odessa,3533403,Nova Odessa
3533254,Novais,3552601,Tabapuã
3533502,Novo Horizonte,3533502,Novo Horizonte
3533601,Nuporanga,3533601,Nuporanga
3533700,Ocauçu,3529005,Marília
3533809,Óleo,3538808,Piraju
3533908,Olímpia,3533908,Olímpia
3534005,Onda Verde,3533007,Nova Granada
3534104,Oriente,3540002,Pompéia
3534203,Orindiúva,3536604,Paulo de Faria
3534302,Orlândia,3534302,Orlândia
3534401,Osasco,3534401,Osasco
3534500,Oscar Bressane,3535507,Paraguaçu Paulista
3534609,Osvaldo Cruz,3534609,Osvaldo Cruz
3534708,Ourinhos,3534708,Ourinhos
3534807,Ouro Verde,3514403,Dracena
3534757,Ouroeste,3534757,Ouroeste
3534906,Pacaembu,3534906,Pacaembu
3535002,Palestina,3535002,Palestina
3535101,Palmares Paulista,3545605,Santa Adélia
3535200,Palmeira d'Oeste,3535200,Palmeira d'Oeste
3535309,Palmital,3535309,Palmital
3535408,Panorama,3535408,Panorama
3535507,Paraguaçu Paulista,3535507,Paraguaçu Paulista
3535606,Paraibuna,3535606,Paraibuna
3535705,Paraíso,3531506,Monte Azul Paulista
3535804,Paranapanema,3535804,Paranapanema
3535903,Paranapuã,3524808,Jales
3536000,Parapuã,3534609,Osvaldo Cruz
3536109,Pardinho,3507506,Botucatu
3536208,Pariquera-Açu,3536208,Pariquera-Açu
3536257,Parisi,3557105,Votuporanga
3536307,Patrocínio Paulista,3536307,Patrocínio Paulista
3536406,Paulicéia,3535408,Panorama
3536505,Paulínia,3536505,Paulínia
3536570,Paulistânia,3500709,Agudos
3536604,Paulo de Faria,3536604,Paulo de Faria
3536703,Pederneiras,3536703,Pederneiras
3536802,Pedra Bela,3507605,Bragança Paulista
3536901,Pedranópolis,3515509,Fernandópolis
3537008,Pedregulho,3537008,Pedregulho
3537107,Pedreira,3537107,Pedreira
3537156,Pedrinhas Paulista,3528809,Maracaí
3537206,Pedro de Toledo,3523305,Itariri
3537305,Penápolis,3537305,Penápolis
3537404,Pereira Barreto,3537404,Pereira Barreto
3537503,Pereiras,3512308,Conchas
3537602,Peruíbe,3537602,Peruíbe
3537701,Piacatu,3506409,Bilac
3537800,Piedade,3537800,Piedade
3537909,Pilar do Sul,3537909,Pilar do Sul
3538006,Pindamonhangaba,3538006,Pindamonhangaba
3538105,Pindorama,3511102,Catanduva
3538204,Pinhalzinho,3538204,Pinhalzinho
3538303,Piquerobi,3547700,Santo Anastácio
3538501,Piquete,3538501,Piquete
3538600,Piracaia,3538600,Piracaia
3538709,Piracicaba,3538709,Piracicaba
3538808,Piraju,3538808,Piraju
3538907,Pirajuí,3538907,Pirajuí
3539004,Pirangi,3539004,Pirangi
3539103,Pirapora do Bom Jesus,3505708,Barueri
3539202,Pirapozinho,3539202,Pirapozinho
3539301,Pirassununga,3539301,Pirassununga
3539400,Piratininga,3539400,Piratininga
3539509,Pitangueiras,3539509,Pitangueiras
3539608,Planalto,3508108,Buritama
3539707,Platina,3535309,Palmital
3539806,Poá,3539806,Poá
3539905,Poloni,3531407,Monte Aprazível
3540002,Pompéia,3540002,Pompéia
3540101,Pongaí,3538907,Pirajuí
3540200,Pontal,3540200,Pontal
3540259,Pontalinda,3524808,Jales
3540309,Pontes Gestal,3510708,Cardoso
3540408,Populina,3515202,Estrela d'Oeste
3540507,Porangaba,3540507,Porangaba
3540606,Porto Feliz,3540606,Porto Feliz
3540705,Porto Ferreira,3540705,Porto Ferreira
3540754,Potim,3502507,Aparecida
3540804,Potirendaba,3540804,Potirendaba
3540853,Pracinha,3527405,Lucélia
3540903,Pradópolis,3518602,Guariba
3541000,Praia Grande,3541000,Praia Grande
3541059,Pratânia,3550100,São Manuel
3541109,Presidente Alves,3538907,Pirajuí
3541208,Presidente Bernardes,3541208,Presidente Bernardes
3541307,Presidente Epitácio,3541307,Presidente Epitácio
3541406,Presidente Prudente,3541406,Presidente Prudente
3541505,Presidente Venceslau,3541505,Presidente Venceslau
3541604,Promissão,3541604,Promissão
3541653,Quadra,3554003,Tatuí
3541703,Quatá,3541703,Quatá
3541802,Queiroz,3555000,Tupã
3541901,Queluz,3541901,Queluz
3542008,Quintana,3540002,Pompéia
3542107,Rafard,3510401,Capivari
3542206,Rancharia,3542206,Rancharia
3542305,Redenção da Serra,3554102,Taubaté
3542404,Regente Feijó,3542404,Regente Feijó
3542503,Reginópolis,3538907,Pirajuí
3542602,Registro,3542602,Registro
3542701,Restinga,3516200,Franca
3542800,Ribeira,3502705,Apiaí
3542909,Ribeirão Bonito,3542909,Ribeirão Bonito
3543006,Ribeirão Branco,3522406,Itapeva
3543105,Ribeirão Corrente,3516200,Franca
3543204,Ribeirão do Sul,3534708,Ourinhos
3543238,Ribeirão dos Índios,3547700,Santo Anastácio
3543253,Ribeirão Grande,3510203,Capão Bonito
3543303,Ribeirão Pires,3543303,Ribeirão Pires
3543402,Ribeirão Preto,3543402,Ribeirão Preto
3543600,Rifaina,3537008,Pedregulho
3543709,Rincão,3501707,Américo Brasiliense
3543808,Rinópolis,3555000,Tupã
3543907,Rio Claro,3543907,Rio Claro
3544004,Rio das Pedras,3544004,Rio das Pedras
3544103,Rio Grande da Serra,3544103,Rio Grande da Serra
3544202,Riolândia,3536604,Paulo de Faria
3543501,Riversul,3522802,Itaporanga
3544251,Rosana,3544251,Rosana
3544301,Roseira,3544301,Roseira
3544400,Rubiácea,3518206,Guararapes
3544509,Rubinéia,3546603,Santa Fé do Sul
3544608,Sabino,3527108,Lins
3544707,Sagres,3534609,Osvaldo Cruz
3544806,Sales,3556008,Urupês
3544905,Sales Oliveira,3533601,Nuporanga
3545001,Salesópolis,3545001,Salesópolis
3545100,Salmourão,3534609,Osvaldo Cruz
3545159,Saltinho,3538709,Piracicaba
3545209,Salto,3545209,Salto
3545308,Salto de Pirapora,3545308,Salto de Pirapora
3545407,Salto Grande,3534708,Ourinhos
3545506,Sandovalina,3539202,Pirapozinho
3545605,Santa Adélia,3545605,Santa Adélia
3545704,Santa Albertina,3524808,Jales
3545803,Santa Bárbara D'Oeste,3545803,Santa Bárbara D'Oeste
3546009,Santa Branca,3546009,Santa Branca
3546108,Santa Clara d'Oeste,3546603,Santa Fé do Sul
3546207,Santa Cruz da Conceição,3526704,Leme
3546256,Santa Cruz da Esperança,3509403,Cajuru
3546306,Santa Cruz das Palmeiras,3546306,Santa Cruz das Palmeiras
3546405,Santa Cruz do Rio Pardo,3546405,Santa Cruz do Rio Pardo
3546504,Santa Ernestina,3553708,Taquaritinga
3546603,Santa Fé do Sul,3546603,Santa Fé do Sul
3546702,Santa Gertrudes,3543907,Rio Claro
3546801,Santa Isabel,3546801,Santa Isabel
3546900,Santa Lúcia,3501707,Américo Brasiliense
3547007,Santa Maria da Serra,3550407,São Pedro
3547106,Santa Mercedes,3535408,Panorama
3547502,Santa Rita do Passa Quatro,3547502,Santa Rita do Passa Quatro
3547403,Santa Rita d'Oeste,3546603,Santa Fé do Sul
3547601,Santa Rosa de Viterbo,3547601,Santa Rosa de Viterbo
3547650,Santa Salete,3555802,Urânia
3547205,Santana da Ponte Pensa,3546603,Santa Fé do Sul
3547304,Santana de Parnaíba,3547304,Santana de Parnaíba
3547700,Santo Anastácio,3547700,Santo Anastácio
3547809,Santo André,3547809,Santo André
3547908,Santo Antônio da Alegria,3501004,Altinópolis
3548005,Santo Antônio de Posse,3524709,Jaguariúna
3548054,Santo Antônio do Aracanguá,3502804,Araçatuba
3548104,Santo Antônio do Jardim,3515186,Espírito Santo do Pinhal
3548203,Santo Antônio do Pinhal,3548609,São Bento do Sapucaí
3548302,Santo Expedito,3541406,Presidente Prudente
3548401,Santópolis do Aguapeí,3506508,Birigui
3548500,Santos,3548500,Santos
3548609,São Bento do Sapucaí,3548609,São Bento do Sapucaí
3548708,São Bernardo do Campo,3548708,São Bernardo do Campo
3548807,São Caetano do Sul,3548807,São Caetano do Sul
3548906,São Carlos,3548906,São Carlos
3549003,São Francisco,3535200,Palmeira d'Oeste
3549102,São João da Boa Vista,3549102,São João da Boa Vista
3549201,São João das Duas Pontes,3515202,Estrela d'Oeste
3549250,São João de Iracema,3516903,General Salgado
3549300,São João do Pau d'Alho,3555109,Tupi Paulista
3549409,São Joaquim da Barra,3549409,São Joaquim da Barra
3549508,São José da Bela Vista,3516200,Franca
3549607,São José do Barreiro,3504909,Bananal
3549706,São José do Rio Pardo,3549706,São José do Rio Pardo
3549805,São José do Rio Preto,3549805,São José do Rio Preto
3549904,São José dos Campos,3549904,São José dos Campos
3549953,São Lourenço da Serra,3522208,Itapecerica da Serra
3550001,São Luís do Paraitinga,3550001,São Luís do Paraitinga
3550100,São Manuel,3550100,São Manuel
3550209,São Miguel Arcanjo,3550209,São Miguel Arcanjo
3550308,São Paulo,3550308,São Paulo
3550407,São Pedro,3550407,São Pedro
3550506,São Pedro do Turvo,3546405,Santa Cruz do Rio Pardo
3550605,São Roque,3550605,São Roque
3550704,São Sebastião,3550704,São Sebastião
3550803,São Sebastião da Grama,3550803,São Sebastião da Grama
3550902,São Simão,3550902,São Simão
3551009,São Vicente,3551009,São Vicente
3551108,Sarapuí,3522307,Itapetininga
3551207,Sarutaiá,3538808,Piraju
3551306,Sebastianópolis do Sul,3528106,Macaubal
3551405,Serra Azul,3513108,Cravinhos
3551603,Serra Negra,3551603,Serra Negra
3551504,Serrana,3551504,Serrana
3551702,Sertãozinho,3551702,Sertãozinho
3551801,Sete Barras,3542602,Registro
3551900,Severínia,3533908,Olímpia
3552007,Silveiras,3508603,Cachoeira Paulista
3552106,Socorro,3552106,Socorro
3552205,Sorocaba,3552205,Sorocaba
3552304,Sud Mennucci,3537404,Pereira Barreto
3552403,Sumaré,3552403,Sumaré
3552551,Suzanápolis,3537404,Pereira Barreto
3552502,Suzano,3552502,Suzano
3552601,Tabapuã,3552601,Tabapuã
3552700,Tabatinga,3519600,Ibitinga
3552809,Taboão da Serra,3552809,Taboão da Serra
3552908,Taciba,3542404,Regente Feijó
3553005,Taguaí,3515400,Fartura
3553104,Taiaçu,3524303,Jaboticabal
3553203,Taiúva,3524303,Jaboticabal
3553302,Tambaú,3553302,Tambaú
3553401,Tanabi,3553401,Tanabi
3553500,Tapiraí,3537800,Piedade
3553609,Tapiratiba,3508702,Caconde
3553658,Taquaral,3539509,Pitangueiras
3553708,Taquaritinga,3553708,Taquaritinga
3553807,Taquarituba,3553807,Taquarituba
3553856,Taquarivaí,3522406,Itapeva
3553906,Tarabai,3539202,Pirapozinho
3553955,Tarumã,3504008,Assis
3554003,Tatuí,3554003,Tatuí
3554102,Taubaté,3554102,Taubaté
3554201,Tejupá,3538808,Piraju
3554300,Teodoro Sampaio,3554300,Teodoro Sampaio
3554409,Terra Roxa,3556800,Viradouro
3554508,Tietê,3554508,Tietê
3554607,Timburi,3538808,Piraju
3554656,Torre de Pedra,3540507,Porangaba
3554706,Torrinha,3507902,Brotas
3554755,Trabiju,3542909,Ribeirão Bonito
3554805,Tremembé,3554805,Tremembé
3554904,Três Fronteiras,3546603,Santa Fé do Sul
3554953,Tuiuti,3507605,Bragança Paulista
3555000,Tupã,3555000,Tupã
3555109,Tupi Paulista,3555109,Tupi Paulista
3555208,Turiúba,3508108,Buritama
3555307,Turmalina,3515202,Estrela d'Oeste
3555356,Ubarana,3525706,José Bonifácio
